ID;Vraag;Volwassenheidsniveau 1;Volwassenheidsniveau 2;Volwassenheidsniveau 3;Volwassenheidsniveau 4;Volwassenheidsniveau 5
GO.01;Een plan en visie op informatiebeveiliging zijn leidend voor alle gerelateerde activiteiten en maatregelen binnen de schoolbestuur.  ;Implementatie en uitvoering van activiteiten en maatregelen op het gebied van informatiebeveiliging gebeurt ad hoc.;Een plan en visie op informatiebeveiliging is geformuleerd, maar niet formeel vastgesteld.;Strategie en visie op informatiebeveiliging zijn vastgesteld door het schoolbestuur. Strategie en visie worden actief gecommuniceerd naar medewerkers, leveranciers en contractpartners.;Strategie en visie zijn leidend voor alle activiteiten en maatregelen met betrekking tot informatiebeveiliging. Indien van toepassing wordt vastgelegd hoe er in lijn met plan en visie gewerkt wordt. De geldigheid en uitvoerbaarheid van de plan en visie wordt regelmatig geverifieerd.;De plan geeft aan hoe dit de schoolbestuur helpt haar doelstellingen te behalen. Indien nodig worden plan en visie op informatiebeveiliging bijgesteld om in te spelen op externe ontwikkelingen en veranderende doelstellingen van de schoolbestuur.
GO.02;De schoolbestuur heeft een informatiebeveiligingsafspraken beschreven, vastgesteld en gecommuniceerd naar de medewerkers. Indien van toepassing wordt het afspraken actief meegedeeld aan leveranciers. Het afspraken wordt regelmatig geëvalueerd en zo nodig geactualiseerd en goedgekeurd door het schoolbestuur.;Er is geen afspraken opgesteld. Er zijn enkele afsprakensstukken in concept.;Er is informatiebeveiligingsafspraken waarin de meest relevante aspecten van informatiebeveiliging zijn opgenomen.;Informatiebeveiligingsafspraken is vastgesteld door het schoolbestuur. Beleid wordt actief gecommuniceerd naar medewerkers, leveranciers en contractpartners en is digitaal (op intranet) of in hardcopy beschikbaar. Het afspraken maakt onderdeel uit van het bewustwordingsprogramma. Er wordt geëvalueerd of en hoe het afspraken wordt uitgevoerd.;Het informatiebeveiligingsafspraken is ingebed in/overgenomen door de schoolbestuur en is vertaald naar onderliggende procedures, baselines en instructies. Periodiek wordt het afspraken geëvalueerd, geactualiseerd en opnieuw goedgekeurd door het schoolbestuur.;Periodiek wordt aan het schoolbestuur gerapporteerd of aan het informatiebeveiligingsafspraken wordt voldaan.
GO.03;De doelstellingen, risico’s en wet- en regelgeving met betrekking tot de informatiebeveiliging van de schoolbestuur worden vertaald in een informatiebeveiligingsplan. Hierbij zijn een planning en roadmap opgesteld om invulling te geven aan de uitvoering van het informatiebeveiligingsafspraken.;Er is geen planning/roadmap informatiebeveiliging opgesteld. Er lopen enkele projecten op het gebied van it-beveiliging of deze zijn gepland.;Er is een planning/roadmap informatiebeveiliging opgesteld. Dit plan bestrijkt alle relevante schoolbestuurdoelstellingen, risico's en eisen op het gebied van wet- en regelgeving.;De planning/roadmap informatiebeveiliging is vastgesteld door het schoolbestuur. Het plan is uitgewerkt in informatiebeveiligingsafspraken en -procedures, tezamen met passende investeringen op het gebied van diensten, medewerkers, software en hardware. Gerelateerde procedures worden gecommuniceerd naar gebruikers en stakeholders.;De planning/roadmap informatiebeveiliging is ingevoerd en wordt ondersteund door (informatie)beveiligingsafspraken, procedures, diensten, medewerkers, software en hardware. De planning/radmap informatiebeveiliging wordt regelmatig geëvalueerd, geactualiseerd en goedgekeurd door het schoolbestuur.;De planning/roadmap informatiebeveiliging en daaraan gerelateerde projectportfolio worden regelmatig gemonitord op bijvoorbeeld voortgang, bedreigingen, haalbaarheid en mate waarin aan schoolbestuurdoelstellingen wordt voldaan. Hierover wordt gerapporteerd aan het schoolbestuur.
GO.04;Er is een Enterprise Information Architecture Model (EIAM) opgesteld en toegepast om applicatieontwikkeling en beslissingsondersteunende activiteiten mogelijk te maken volgens informatie- of it-plannen. Dit model moet het mogelijk maken om effectief, veilig en op een robuuste manier informatie te creëren, te gebruiken en te delen zoals wordt vereist door schoolbestuurdoelstellingen en wettelijke voorschriften.;Er is geen EIAM gedefinieerd.;De baseline architectuur (IST) is gedefinieerd. Er zijn EIAM-specifieke werkwijzesen opgezet om de ontwikkeling van systemen en/of programma's mogelijk te maken.;Er is een baseline voor de huidige (IST) en de beoogde architectuur (SOLL) gedefinieerd. De SOLL is in overeenstemming met de schoolbestuurbrede doelstellingen (inclusief de naleving van wettelijke voorschriften) en de organisatorische hoofd vanheden. Het EIAM en de relevante werkwijzesen zijn gedefinieerd en worden toegepast om applicatieontwikkeling en beslissingsondersteunende activiteiten in overeenstemming met de informatie- of it-plannen mogelijk te maken. Het EIAM is goedgekeurd door het schoolbestuur.;Het model ondersteunt op een veilige manier het creëren, gebruiken en delen van informatie, in lijn met de schoolbestuurdoelstellingen, met inbegrip van innovaties. De SOLL is gericht op de prioriteiten en performancedoelstellingen van de schoolbestuur. Het EIAM en de relevante werkwijzesen worden regelmatig geëvalueerd.;Het EIAM vergemakkelijkt het effectief creëren, gebruiken en delen van informatie op een wijze die de integriteit verbetert (of ten minste handhaaft) en die flexibel, functioneel, kosteneffectief en tijdig is.
GO.05;Onafhankelijke toetsing (intern of extern) wordt verkregen om te bepalen in hoeverre de informatievoorziening (inclusief it) voldoet aan relevante wet- en regelgeving, het afspraken van de schoolbestuur, de normen en procedures van de schoolbestuur, algemeen aanvaarde werkwijzen en effectieve en efficiënte prestaties van it.;Er vindt geen onafhankelijke toetsing plaats.;De interne auditfunctie is gedefinieerd en bestaat onder andere uit toetsing op naleving van relevante wet- en regelgeving, it- of informatieafspraken, standaarden en procedures binnen de schoolbestuur.;Onafhankelijke toetsing (intern of extern) wordt ingezet om in beeld te krijgen of de informatievoorziening (inclusief it) voldoet aan relevante wet- en regelgeving, afspraken, standaarden, procedures binnen de schoolbestuur en algemeen aanvaarde werkwijzen. De activiteiten voor het verkrijgen van toetsing zijn beschreven in een auditplan dat is vastgesteld door het schoolbestuur of de schoolleiding en een auditcommissie. De resultaten van deze activiteiten worden gerapporteerd aan het schoolbestuur of de schoolleiding en de auditcommissie. Er zijn ingevulde checklists beschikbaar die worden gebruikt bij de controle.;De uitvoering van de onafhankelijke toetsing wordt regelmatig geëvalueerd door de auditcommissie. Het ontwerp van de onafhankelijke toetsingsfunctie wordt regelmatig geëvalueerd door een externe partij.;Onafhankelijke toetsing (intern of extern) omvat ook de effectiviteit en de efficiëntie van de informatieverwerking (inclusief it).
OR.01;Informatiebeveiliging en risicomanagement dragen bij aan het behalen van de schoolbestuurdoelstellingen. Eigenaarschap, rollen, hoofd vanheden en aansprakelijkheid zijn formeel toegewezen en ingebed in de schoolbestuur.;Eigenaarschap, rollen en hoofd vanheden zijn niet toegewezen. Er zijn enkele rollen te onderscheiden die informeel worden uitgevoerd.;Rollen die cruciaal zijn voor het managen van informatierisico's zijn benoemd en toegewezen, inclusief specifieke hoofd vanheid en aansprakelijkheid voor informatiebeveiliging, fysieke veiligheid en het voldoen aan wet- en regelgeving.;Alle rollen op het gebied van het managen van informatierisico’s zijn vastgesteld en toegewezen. Op schoolbestuurniveau zijn de hoofd vanheid en aansprakelijkheid voor risico- en informatiebeveiligingsmanagement vastgesteld. Hierin worden schoolbestuurbrede kwesties behandeld. Er is een intentieverklaring van het schoolbestuur die stelt dat de schoolleiding de doelen en uitgangspunten van informatiebeveiliging en informatierisicobeheer ondersteunt en dat ze overeenstemming zijn met de plan en schoolbestuurdoelstellingen. De governancestructuur is gedocumenteerd met daarin opgenomen de hoofd vanheden en rapportagestructuur.;Eigenaarschap, hoofd vanheid en aansprakelijkheid voor it-gerelateerde risico’s zijn in de schoolbestuur ingebed in het juiste managementniveau. Bijkomende hoofd vanheden voor informatiebeveiligingsmanagement kunnen op een systeemspecifiek niveau worden toegewezen. Eigenaarschap, rollen, hoofd vanheden en aansprakelijkheid worden regelmatig geëvalueerd.;Het schoolbestuur of de schoolleiding bepaalt formeel de risicobereidheid voor informatierisico's en de acceptatie van restrisico's.
OR.02;Rollen en hoofd vanheden zijn gescheiden om de kans te verkleinen dat individuele personen kritieke werkwijzesen in gevaar brengen. Medewerkers voeren alleen geautoriseerde taken uit die bij hun functies en rol horen.;Er vindt geen of nagenoeg geen functiescheiding plaats.;Rollen en hoofd vanheden zijn gescheiden. Hoe deze rollen en hoofd vanheden worden gescheiden is niet formeel vastgelegd en/of afgestemd met het schoolbestuur of de schoolleiding.;De scheiding van rollen en hoofd vanheden is gedefinieerd en grotendeels ingevoerd. Dit verkleint de kans dat individuele medewerkers essentiële werkwijzesen kunnen schaden. De scheiding van hoofd vanheden is vastgesteld door het schoolbestuur of de schoolleiding. Vastgestelde functiescheiding is ingevoerd, zodat medewerkers alleen geautoriseerde handelingen kunnen verrichten die passen bij hun werkzaamheden.;Een functiescheidingconflictmatrix is gedefinieerd en wordt regelmatig getoetst aan de werkelijke implementatie van systemen en werkwijzesen. Deze functiescheidingconflictmatrix wordt in ieder geval geëvalueerd na grote wijzigingen in werkwijzesen of systemen. De implementatie en uitvoering van relevante procedures worden regelmatig geëvalueerd.;Periodiek worden er databasechecks uitgevoerd om de huidige werkwijzesen te toetsen in relatie tot de functiescheidingsmatrix. Hierbij wordt gekeken naar ongebruikelijk transacties en gebieden voor verbetering (bijvoorbeeld met werkwijzesminingtechnieken).
RM.01;Zorg ervoor dat risicomanagement onderdeel uitmaakt van het informatiebeveiligingsafspraken. Zie hiervoor ook norm GO.02 Beleid informatiebeveiliging. Volg de handreiking Risicomanagement voor de verdere invulling van risicomanagement binnen de kaders van het informatiebeveiligingsafspraken. Hierin staat beschreven welke zaken werkwijzematig aandacht behoren te krijgen en op welke wijze hier invulling aan wordt gegeven. Stel een Risicomanagement werkwijze op voor de verdere invulling van risicomanagement binnen de kaders van het informatiebeveiligingsafspraken. Draag als IBP-hoofd vane bij aan het kennisniveau over risicomanagement van medewerkers en leidinggevenden, bijvoorbeeld door het geven van voorlichting of training.;Informatierisico’s zijn niet of worden ad hoc bepaald. Er is geen raamwerk voor informatierisicomanagement en geen informatierisicomanagementwerkwijze.;(Informatie)risicomanagementafspraken en een informatierisicomanagementwerkwijze zijn opgesteld; meestal op een hoog abstractieniveau en worden alleen toegepast bij grote projecten of als reactie op problemen. Er is een beknopt raamwerk voor informatierisicomanagement en de risicobereidheid is op een hoog niveau bepaald. Raamwerk en risicobereidheid zijn in beperkte mate in lijn met de schoolbestuurdoelstellingen en bedrijfsrisico’s.;Er is schoolbestuurbreed (informatie)risicomanagementafspraken dat is vastgesteld door het schoolbestuur of de schoolleiding. Het afspraken en de werkwijzebeschrijving geven aan hoe om te gaan met de essentiële elementen van risicomanagement (risicobereidheid/risicoprofiel, eigenaarschap, risicowerkwijze, bepalen, mitigeren en accepteren). Het kader voor informatierisico’s is in lijn met het kader voor schoolbestuurbreed risicomanagement en omvat componenten als plan, programma’s, projecten en uitvoering. Classificatie van informatierisico’s gebeurt op basis van een set van algemeen geldende karakteristieken vanuit het schoolbestuurbrede raamwerk voor risicomanagement en getroffen maatregelen voor informatierisico’s zijn gestandaardiseerd en geprioriteerd, waarbij rekening gehouden wordt met kans, impact en restrisico’s. Training in het kader van dit risicokader is ingevoerd.;Het raamwerk voor informatierisicomanagement en hoe de daaraan verbonden werkwijzesen in de praktijk functioneren, worden regelmatig geëvalueerd. Periodiek wordt gerapporteerd over (het raamwerk voor) informatierisicomanagement, waardoor het schoolbestuur risico’s kan monitoren en op basis daarvan overwogen besluiten kan nemen over welke risico’s het accepteert. Het raamwerk voor informatierisicomanagement focust ook op efficiëntieaspecten van primaire bedrijfsvoering. Informatierisicomanagement is volledig geïntegreerd in alle it- en bedrijfsvoering, wordt volledig geaccepteerd en betrekt hierin medewerkers en leveranciers. Het raamwerk voor informatierisicomanagement en de daaraan verbonden werkwijzesen worden voortdurend verbeterd.
RM.02;Risicobeoordelingen worden uitgevoerd om actuele risico’s die betrekking hebben op de doelstellingen van het schoolbestuur of de school te bepalen. De waarschijnlijkheid en impact van alle geïdentificeerde risico’s worden regelmatig beoordeeld, met behulp van kwalitatieve en kwantitatieve methoden.;Risicoanalyses worden zelden gedaan en zijn afhankelijk van individuen. Soms worden risicoanalyses uitgevoerd als onderdeel van een projectplan.;Risicoanalyses worden uitgevoerd als onderdeel van het risicomanagementwerkwijze en risico’s worden kwalitatief of kwantitatief geïdentificeerd. De kans en/of impact wordt vooral bepaald op basis van algemene criteria, niet volledig in lijn met de schoolbestuurdoelen. Risicoanalyses worden (als onderdeel van een project) beknopt gedocumenteerd.;Dankzij duidelijke en passende instructies vinden risicoanalyses consistent en herhaaldelijk plaats, als onderdeel van het risicomanagementwerkwijze. De risicoanalysemethode is in lijn met behoeften van de schoolbestuur en identificeert belangrijke risico’s (inclusief kroonjuwelen). De geïdentificeerde risico’s worden kwalitatief en kwantitatief beoordeeld, gebruikmakend van het risicomanagementwerkwijze of good practice-bronnen. Afwijkingen ten opzichte van het risicoprofiel worden gerapporteerd aan het schoolbestuur.;De correlatie tussen de geïdentificeerde risico’s wordt geanalyseerd en gedocumenteerd. Zo kunnen de resultaten van de risico of dreigingsanalyse worden opgenomen in de overkoepelende risk heat map. De risicoanalysemethodiek wordt regelmatig geëvalueerd.;De risicoanalysemethodiek wordt ondersteund door geautomatiseerde tools, workflowwerkwijzesing en geïntegreerde dashboards.
RM.03;Beheersactiviteiten worden op alle niveaus geprioriteerd en gepland om de benodigde oplossingen voor problemen te uitvoeren, inclusief het bepalen van kosten en baten en de hoofd vanheid voor de uitvoering. Goedkeuring wordt verkregen voor aanbevolen acties en er wordt voor gezorgd dat uitgevoerde acties onder hoofd vanheid van betrokken werkwijzeeigenaar(s) vallen. De uitvoering van plannen wordt bewaakt en eventuele afwijkingen worden gerapporteerd aan het schoolbestuur of de schoolleiding.;Er is geen plan voor het aanpakken of mitigeren van risico’s. Als een risico wordt geïdentificeerd, worden de risicobeperkende maatregelen inconsistent toegepast, afhankelijk van individuele competenties.;Plannen voor het aanpakken en mitigeren van risico’s zijn gemaakt, maar niet formeel vastgelegd. Risicobeperkende maatregelen zijn onvolledig en niet geformaliseerd/goedgekeurd, en eigenaarschap is slechts gedeeltelijk toegewezen aan risicomaatregelen of geaccepteerde risico’s.;Er is een werkwijze ingevoerd om risico’s en maatregelen formeel vast te leggen en op te nemen in een risicoregister. Overgebleven risico’s en maatregelen zijn geïdentificeerd, geanalyseerd en gedocumenteerd in een risicoregister of -actieplan. De geïdentificeerde maatregelen of acceptatie van overgebleven risico’s zijn gedocumenteerd, goedgekeurd door het schoolbestuur of de schoolleiding en toegewezen aan een (risico)eigenaar. De voortgang van implementatie van risicobeperkende maatregelen en eventuele afwijkingen worden gemonitord. Het risicoregister wordt onderhouden en aangepast indien nodig. Het schoolbestuur of de schoolleiding is eigenaar van het risicoregister.;Indien van toepassing wordt de prioritering van risicobeperkende maatregelen en argumenten voor risicoacceptatie heroverwogen. Geïdentificeerde risicoreacties geven ook inzicht in de kosten en baten daarvan, inclusief bewaking van het budget. De operationele effectiviteit van het risicomanagementwerkwijze wordt regelmatig geëvalueerd.;Het opschrijven, analyseren, bewaken en rapporteren van risicomanagementdata gebeurt (grotendeels) geautomatiseerd. Strategieën voor het mitigeren van risico’s worden voortdurend door het schoolbestuur of de schoolleiding geëvalueerd.
